[14-Nov-2014 16:15:54 UTC] PHP Fatal error:  Cannot redeclare class Pacientes in /var/www/bg-dental/app/models/Presupuestos.php on line 0
[17-Nov-2014 08:53:49 UTC] PHP Fatal error:  Call to undefined method Illuminate\Database\Eloquent\Collection::save() in /var/www/bg-dental/app/controllers/PresupuestosController.php on line 48
[17-Nov-2014 08:54:38 UTC] PHP Fatal error:  Call to undefined method Illuminate\Database\Eloquent\Collection::save() in /var/www/bg-dental/app/controllers/PresupuestosController.php on line 48
[17-Nov-2014 10:21:44 UTC] PHP Fatal error:  Function name must be a string in /var/www/bg-dental/app/controllers/PresupuestosController.php on line 50
[17-Nov-2014 10:21:57 UTC] PHP Fatal error:  Function name must be a string in /var/www/bg-dental/app/controllers/PresupuestosController.php on line 50
[17-Nov-2014 10:23:30 UTC] PHP Fatal error:  Function name must be a string in /var/www/bg-dental/app/controllers/PresupuestosController.php on line 50
[17-Nov-2014 11:19:06 UTC] PHP Fatal error:  Call to a member function toSQL() on a non-object in /var/www/bg-dental/app/controllers/PresupuestosController.php on line 51
[17-Nov-2014 11:20:10 UTC] PHP Fatal error:  Function name must be a string in /var/www/bg-dental/app/controllers/PresupuestosController.php on line 50
[17-Nov-2014 11:20:35 UTC] PHP Fatal error:  Function name must be a string in /var/www/bg-dental/app/controllers/PresupuestosController.php on line 50
[18-Nov-2014 10:40:25 UTC] PHP Fatal error:  Call to a member function toArray() on a non-object in /var/www/bg-dental/app/controllers/PresupuestosController.php on line 46
[18-Nov-2014 11:22:48 UTC] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC) in /var/www/bg-dental/app/controllers/PresupuestosController.php on line 103
[18-Nov-2014 11:28:10 UTC] PHP Fatal error:  Call to a member function toArray() on a non-object in /var/www/bg-dental/app/controllers/PresupuestosController.php on line 47
[18-Nov-2014 17:03:17 UTC] PHP Parse error:  syntax error, unexpected 'View' (T_STRING) in /var/www/bg-dental/app/controllers/GruposTratamientosController.php on line 13
[18-Nov-2014 17:18:23 UTC] PHP Fatal error:  Class 'Grupos' not found in /var/www/bg-dental/app/controllers/GruposController.php on line 35
[19-Nov-2014 15:19:39 UTC] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in /var/www/bg-dental/app/storage/views/58cd065615fd9f29ea9998c4512e2cab on line 26
[19-Nov-2014 15:20:30 UTC] PHP Parse error:  syntax error, unexpected ':', expecting '(' in /var/www/bg-dental/app/storage/views/58cd065615fd9f29ea9998c4512e2cab on line 26
[19-Nov-2014 15:21:05 UTC] PHP Parse error:  syntax error, unexpected ':', expecting '(' in /var/www/bg-dental/app/storage/views/58cd065615fd9f29ea9998c4512e2cab on line 26
[19-Nov-2014 15:25:54 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /var/www/bg-dental/app/storage/views/58cd065615fd9f29ea9998c4512e2cab on line 45
[19-Nov-2014 17:46:29 UTC] PHP Parse error:  syntax error, unexpected 'ins' (T_STRING), expecting '(' in /var/www/bg-dental/app/routes.php on line 49
[19-Nov-2014 17:47:22 UTC] PHP Parse error:  syntax error, unexpected 'ins' (T_STRING), expecting '(' in /var/www/bg-dental/app/routes.php on line 49
[19-Nov-2014 17:59:55 UTC] PHP Parse error:  syntax error, unexpected '"<br>"' (T_CONSTANT_ENCAPSED_STRING), expecting ',' or ';' in /var/www/bg-dental/app/routes.php on line 57
[19-Nov-2014 18:00:08 UTC] PHP Fatal error:  Class 'compania' not found in /var/www/bg-dental/app/routes.php on line 53
[23-Nov-2014 11:17:09 UTC] PHP Parse error:  syntax error, unexpected '}' in /var/www/bg-dental/app/routes.php on line 90
[23-Nov-2014 11:26:31 UTC] PHP Parse error:  syntax error, unexpected '$id_grupo' (T_VARIABLE) in /var/www/bg-dental/app/routes.php on line 66
[24-Nov-2014 13:05:59 UTC] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE) in /var/www/bg-dental/app/routes.php on line 68
[24-Nov-2014 13:06:52 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 83 bytes) in /var/www/bg-dental/vendor/laravel/framework/src/Illuminate/Database/Connection.php on line 303
[25-Nov-2014 05:51:28 UTC] PHP Parse error:  syntax error, unexpected end of file, expecting function (T_FUNCTION) in /var/www/bg-dental/app/models/Grupos.php on line 8
[25-Nov-2014 08:09:09 UTC] PHP Fatal error:  Call to a member function toSql() on a non-object in /var/www/bg-dental/app/routes.php on line 84
[25-Nov-2014 08:09:59 UTC] PHP Fatal error:  Call to a member function save() on a non-object in /var/www/bg-dental/app/routes.php on line 84
[25-Nov-2014 11:20:00 UTC] PHP Fatal error:  Class 'GruposTratamientos' not found in /var/www/bg-dental/vendor/laravel/framework/src/Illuminate/Database/Eloquent/Model.php on line 780
[25-Nov-2014 12:39:40 UTC] PHP Parse error:  syntax error, unexpected '}' in /var/www/bg-dental/app/routes.php on line 87
[26-Nov-2014 16:27:10 UTC] PHP Parse error:  syntax error, unexpected end of file in /var/www/bg-dental/app/storage/views/8a46cffa807ecc4348f59776c911a4ad on line 30
[26-Nov-2014 16:39:29 UTC] PHP Fatal error:  Call to undefined method Illuminate\Database\Eloquent\Collection::companias() in /var/www/bg-dental/app/controllers/TratamientosController.php on line 12
[26-Nov-2014 16:51:55 UTC] PHP Parse error:  syntax error, unexpected '}', expecting ',' or ';' in /var/www/bg-dental/app/controllers/TratamientosController.php on line 17
[26-Nov-2014 17:56:26 UTC] PHP Parse error:  syntax error, unexpected end of file in /var/www/bg-dental/app/storage/views/8a46cffa807ecc4348f59776c911a4ad on line 33
